video_id,colour-1,colour-2,colour-3,colour-4
4Ibn7DeBS-Y,#9aa295,#22211c,#dcdccd,#665e50
4JGWxG-vE24,#ebe7ef,#878de6,#b12131,#2d36c6
4KtBBzHWmTI,#3d3b26,#b9b283,#000000,#635d3b
4L43VVORo5c,#58543b,#88a4a2,#cbcdc9,#eff2f1
4Lng7bi50To,#a4837c,#ddc2b7,#160b0d,#673a37
4LqZdkkBDas,#511b31,#d39983,#a0584e,#6843bb
4MtAl7F6xio,#575757,#262323,#959494,#b41b1c
4OdLgsZOM14,#c7c8cf,#120d0b,#3c3635,#7a7676
4OiHwMtKwis,#0f0f10,#737b80,#393c40,#dee8ef
4SANXNco_y4,#7e8d99,#d2dde3,#f9fdfe,#9fadb9
4TcIHlJQpEQ,#2a291d,#7ca094,#477c59,#d3d7ba
4W_YgNW7gs0,#0b080b,#22182d,#afa7ad,#504559
4WaNHlisU4c,#8247c9,#1f1c37,#38426f,#ad6c72
4YFo4bdMO8Q,#a69df6,#2234de,#7341f4,#287cf4
4cucHc2vef4,#010001,#860f33,#de220b,#a16d57
4diqg8_3a-0,#87958a,#555b5a,#181e21,#65c1f0
4eOq4xzaPsA,#8e7970,#cabab6,#41271f,#e3e0e3
4hrrK3rXrR0,#7d6c65,#711715,#c0b0a7,#f6eee2
4j-ED6tL85o,#434136,#a59c84,#0a0808,#727459
4oYYVrEFWE8,#262525,#6b5b64,#a1a5d1,#d46f7a
4pq_VGpPooM,#1d1c1a,#8b7957,#705435,#b1a68f
4qOeuzeNfQ8,#0f0f0f,#aca49b,#d8cdc4,#f6ede2
4uTNVumfm84,#454036,#d3e7cb,#96805c,#b4252f
4ughEPQGd8w,#cdd1ea,#77737c,#a29aa6,#4a4a54
4xN-jUfJAyM,#263a55,#110f1c,#93c4dd,#4d252e
4yG_k2Zlw7Y,#2b3a36,#519545,#8f7f5a,#6197bf
4zD4HPlc-BE,#e3e1da,#4f4e49,#090908,#a5a4a2
510KQ_LXGww,#5d2d20,#f4cbba,#b77a5b,#e1ae95
51tc6o12uqA,#a4a6af,#e0dae0,#696360,#181216
52L2HML5O1k,#a1a280,#1b747c,#4d2e31,#ebeddb
54BVvP7zvDQ,#2b2522,#b3a39e,#746866,#dcd6d5
54Eae2ewc1c,#61668a,#070b09,#d1d5d3,#33393a
56KYMMGudcU,#16080f,#816669,#462d37,#ba9e9c
58sRIu0PUok,#273855,#cab8b4,#0b0f1a,#8a6c65
59-oYSzold0,#121213,#818483,#353635,#edede2
59w7ymFyQVI,#9e794d,#281909,#e7c28c,#604627
5DpvCOebmo4,#9f7671,#201f21,#f5f2ec,#ddb3a0
5E4ZBSInqUU,#9ea09c,#6c746e,#25292d,#c4c4c0
5ER1LOarlgg,#2f538d,#222d4c,#954b65,#0f101f
5GHXEGz3PJg,#607360,#030304,#9dad8d,#433133
5KKszaZ4uOw,#c8919a,#231e29,#74696e,#e9d4cb
5Kk5QxB9lWk,#917f7b,#131618,#454e53,#1a3c47
5LCjvpjhf_4,#7c7458,#9eb2a9,#2e455d,#bccbdc
5NaAwSpswJE,#82777f,#68484b,#b09ca0,#272123
5O4h2x9NuTk,#292225,#575559,#b8b2ad,#8d7967
5PI1xwT2-74,#0b0e12,#062597,#121f53,#767370
5QpnRjXtm1A,#51453d,#0f0b0b,#e4cdaa,#9e8870
5R2ZZ-t8XS0,#d2cbc3,#0f0f13,#342f34,#6e7484
5SkwvwSydmk,#1c1818,#d8ccbf,#78726e,#2979c7
5TTdcyRi-nw,#cdc3c3,#325169,#081b2b,#72b8d0
5UL5wZJPLEg,#3b371a,#ab9589,#68624f,#dfd1c5
5ZoKBdxhXpw,#b0a59d,#2b2a30,#5e555d,#010101
5c7FL9QV1bs,#5c4644,#120d0f,#a998a5,#3268b1
5deYJLWFplc,#c1bebe,#403035,#c6a936,#4c7596
5fW5dsc0-5g,#795b4b,#c2a690,#291d1c,#a8806d
5iOhzJdDawE,#261919,#b69c8a,#6e5342,#eae0dc
5n9xafjynJA,#493230,#e5d8d4,#907570,#0b0906
5qxqo2CQakA,#79635d,#1f101f,#c9beb7,#e5df34
5sEaYB4rLFQ,#666967,#3b4444,#b2b5b0,#182326
5tCyAEMaE-I,#14130e,#a47f7c,#f2eae9,#4e3a3b
5uXsCaakZD8,#d6c0b7,#7b6658,#3e241b,#c9403c
5w1GdX44DHc,#e4e5e3,#ca2a2d,#213657,#999c90
5wVnr3cahQg,#dca6b2,#9f557b,#efd8d6,#d3ac2f
